id,keywords,date,nbComments,nbView,nbStars,nbVotes,source
44941,Alain Soral;Emmanuel Macron;France;François Fillon;Front national;Mélenchon;Politique,2017-04-04 00:00:00,21,101368,5,688,E&R
44309,Féminisme;France;François Hollande;Immigration;Internet;Marine Le Pen;Médias;People;Politique;Terrorisme,2017-02-23 00:00:00,30,43908,5,226,ERTV
45338,Allemagne;France;Histoire;Judaïsme;Médias;Pologne;Seconde Guerre mondiale,2017-04-25 00:00:00,31,24019,4,121,ERTV
44732,Humour;Zéon,2017-03-19 00:00:00,10,22419,5,129,undefined
45070,Humour;Zéon,2017-04-09 00:00:00,18,33790,5,126,undefined
45386,Alain Soral;Emmanuel Macron;Marine Le Pen;Politique,2017-05-02 00:00:00,132,119743,5,589,E&R
44230,Alain Soral;Antiracisme;France;François Fillon;Front national;Mélenchon;LRPS;Marine Le Pen;Politique,2017-02-27 00:00:00,101,96963,5,654,ERTV
43857,Allemagne;Franc-maçonnerie;Histoire,2017-01-27 00:00:00,8,9878,5,42,Rivarol
43394,Rédaction E&R;Communautés;Donald Trump;Éducation;États-Unis;France;François Hollande;Futur;Immigration;Najat Vallaud-Belkacem;Nationalisme;Politique;Presse;Russie;Sionisme;Terrorisme;Vladimir Poutine,2016-12-31 00:00:00,28,26344,5,138,E&R
45359,Jean-Loup Izambert;Économie;Emmanuel Macron;Marine Le Pen;Politique;Social,2017-04-28 00:00:00,19,26198,5,154,E&R
45222,Médias;Politique,2017-04-18 00:00:00,40,41057,5,225,ERTV
29129,Extrême gauche;France;Judaïsme;Médias;Politique,2017-03-15 00:00:00,89,200498,5,455,Faits & Documents
45551,Emmanuel Macron;Marine Le Pen;Opinions;Politique;Sociologie,2017-05-05 00:00:00,86,33460,5,304,ERTV
44935,Rédaction E&R – Section Santé;Santé,2017-03-31 00:00:00,24,18611,5,77,E&R
44714,Alain Soral;Emmanuel Macron;France;François Fillon;Mélenchon;Marine Le Pen;Politique,2017-03-28 00:00:00,108,110036,5,600,E&R
