Mot1,Mot2,Poids
États-Unis,International,1
International,Israël,0.635332287741439
France,Politique,0.5755800852301
International,Russie,0.552074499091118
Économie,International,0.524609479030482
International,Syrie,0.508272403809706
International,Union européenne,0.459162342889366
France,International,0.407614140519157
Économie,Union européenne,0.394461657663686
France,Justice & Droit,0.392200862563218
Israël,Palestine,0.388265296545818
LRPS,Politique,0.370438951833688
International,Palestine,0.331566679739998
Économie,France,0.299491576478857
International,Libye,0.283542171718007
Défense,International,0.279808943621354
International,Iran,0.254975884396677
Israël,Sionisme,0.241923545840962
International,Politique,0.240980982112877
Économie,États-Unis,0.239817196287346
